study,mechanism,param,factor,cells,noise,rep,floor_mean,floor_std,wt_mech,wt_lin,loss_K,loss_n,loss_vmax,wt_distance
calib,gain,n,0.2,2000,1,37,0.0088165283203125,0.006582007765880406,0.012996882200241089,0.03161928653717041,0.036617785692214966,0.012355068325996399,0.04481684863567352,0.04177284240722656
calib,gain,n,0.2,2000,1,38,0.013271665573120118,0.013837460199328674,0.01740189492702484,0.036257115006446836,0.04156633913516998,0.012862730026245116,0.08207373917102814,0.04404568672180176
calib,gain,n,0.2,2000,1,39,0.006296539306640625,0.002185492099615888,0.0135825514793396,0.028695622086524965,0.038685467839241025,0.010624617338180542,0.05468604862689972,0.026655912399291992
calib,ceiling,vmax,0.3,2000,1,0,0.0075472831726074215,0.003844679331015355,0.017061036825180054,0.030558621883392333,0.024447515606880188,0.20703376829624176,0.013748493790626527,0.24922609329223633
calib,ceiling,vmax,0.3,2000,1,1,0.013258004188537597,0.012733430024168907,0.012273800373077393,0.029856789112091064,0.025775933265686037,0.23057059645652772,0.0126242995262146,0.2661079168319702
calib,ceiling,vmax,0.3,2000,1,2,0.008802497386932373,0.006433470154006262,0.011280602216720581,0.03281807005405426,0.027884718775749207,0.30354312658309934,0.01126042902469635,0.3058795928955078
calib,ceiling,vmax,0.3,2000,1,3,0.01511685848236084,0.008641217127494135,0.017548707127571107,0.03572528958320618,0.023238357901573182,0.20203621089458465,0.011223706603050231,0.3421812057495117
calib,ceiling,vmax,0.3,2000,1,4,0.009817492961883546,0.008510181764633822,0.021850037574768066,0.02727651596069336,0.02506307661533356,0.1927781283855438,0.014230775833129882,0.27064049243927
calib,ceiling,vmax,0.3,2000,1,5,0.00927276611328125,0.0041244883406215006,0.013550376892089844,0.032068705558776854,0.024274250864982604,0.23650104999542237,0.014557459950447082,0.2894318103790283
calib,ceiling,vmax,0.3,2000,1,6,0.012434422969818115,0.009524420692344767,0.015455135703086853,0.030261623859405517,0.023036208748817445,0.1837580531835556,0.014690881967544556,0.27314627170562744
calib,ceiling,vmax,0.3,2000,1,7,0.010201358795166015,0.00451346822979014,0.014576300978660583,0.03195217549800873,0.027987271547317505,0.20968403816223144,0.011815375089645386,0.25202667713165283
calib,ceiling,vmax,0.3,2000,1,8,0.009479176998138428,0.01026410229097211,0.012633749842643737,0.030780038237571715,0.02538441717624664,0.2545859754085541,0.01234906017780304,0.33870983123779297
calib,ceiling,vmax,0.3,2000,1,9,0.008793175220489502,0.005974718662979262,0.01497531533241272,0.02932579815387726,0.021127131581306458,0.24790990054607392,0.015569943189620971,0.2995285987854004
calib,ceiling,vmax,0.3,2000,1,10,0.013138103485107421,0.004630628004411344,0.01574910283088684,0.03118138313293457,0.030205124616622926,0.31315172016620635,0.013919898867607116,0.2946850061416626
calib,ceiling,vmax,0.3,2000,1,11,0.011230361461639405,0.005639428820317904,0.014121779799461364,0.032499322295188905,0.023935121297836304,0.19616690576076506,0.01370912790298462,0.22706258296966553
calib,ceiling,vmax,0.3,2000,1,12,0.009438037872314453,0.006716659581820086,0.012169942259788513,0.03187271654605865,0.023397302627563475,0.20323603749275207,0.013563016057014465,0.22437727451324463
calib,ceiling,vmax,0.3,2000,1,13,0.007680583000183106,0.004146474784766423,0.013667532801628112,0.03396985530853271,0.02750646770000458,0.3005784809589386,0.012832534313201905,0.2797532081604004
calib,ceiling,vmax,0.3,2000,1,14,0.010896885395050048,0.00490828365986413,0.014521151781082153,0.03322697281837463,0.025120419263839722,0.1935184568166733,0.011010086536407471,0.21974456310272217
calib,ceiling,vmax,0.3,2000,1,15,0.005821406841278076,0.001453537333180794,0.014304855465888977,0.03236509561538696,0.028591296076774596,0.31049527823925016,0.012704509496688842,0.3955618143081665
calib,ceiling,vmax,0.3,2000,1,16,0.015883350372314455,0.016442539781792057,0.01607392430305481,0.02884994149208069,0.02559434771537781,0.20359147787094117,0.012726333737373353,0.32530975341796875
calib,ceiling,vmax,0.3,2000,1,17,0.007973051071166993,0.0036161130489809545,0.011421960592269898,0.029173865914344788,0.02816922664642334,0.24063590168952942,0.013121020793914796,0.3966202735900879
calib,ceiling,vmax,0.3,2000,1,18,0.007560551166534424,0.003019774412259559,0.012612250447273255,0.02971838414669037,0.02316860556602478,0.260930261015892,0.013388952612876892,0.3528693914413452
